Reaction #,Plate,Rxn_Plate_Col,Rxn_Plate_Row,Prod_Smiles,Rxn_Plate,Product_theoretical_umol,Target Mass,ArX_ID,ArX_Smiles,ArX_umol,ArX_equiv,ArX_conc_M,ArX_nL,Acid_ID,Acid_Smiles,Acid_umol,Acid_equiv,Acid_conc_M,Acid_nL,Additive_ID,Additive_Smiles,Additive_umol,Additive_equiv,Additive_conc_M,Additive_nL,Solvent_ID,Solvent_nL,Solvent_Smiles,Quench_Solvent1_ID,Quench_Solvent1_Smiles,Quench_Solvent1_uL,Quench_Additive1_ID,Quench_Additive1_Smiles,Quench_Additive1_conc_M,Solution_Photocatalyst_ID,Solution_Photocatalyst_Smiles,Solution_Photocatalyst_umol,Solution_Photocatalyst_equiv_rel_to_solute,Solution_Photocatalyst_conc,Solution_Photocatalyst_solute,Solution_Ligand_ID,Solution_Ligand_Smiles,Solution_Ligand_umol,Solution_Ligand_equiv_rel_to_solute,Solution_Ligand_conc,Solution_Ligand_solute,Solution_Catalyst_ID,Solution_Catalyst_Smiles,Solution_Catalyst_umol,Solution_Catalyst_equiv_rel_to_solute,Solution_Catalyst_conc,Solution_Catalyst_solute,Solution_Base_ID,Solution_Base_Smiles,Solution_Base_umol,Solution_Base_equiv_rel_to_solute,Solution_Base_conc,Solution_Base_solute,UV210_Prod AreaAbs,reaction_smiles
,1,1,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00003818,C1CCC(CC1)(C#N)O,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,7602.70265,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.N#CC1(O)CCCCC1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
2,1,3,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD19596530,CNC(=O)c1cn2ccccc2n1,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,11143.26709,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.CNC(=O)c1cn2ccccc2n1.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
3,1,5,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD04114929,c1coc(n1)C(=O)N,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,38259.31702,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.NC(=O)c1ncco1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
4,1,7,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00014660,c1ccc2c(c1)ccc(n2)N/N=C/c3ccccn3,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,1276.19727,C(=N/Nc1ccc2ccccc2n1)\c1ccccn1.CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
5,1,9,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00006739,c1cc2ccc[n+](c2c(c1)O)[O-],0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,1672.53802,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1.[O-][n+]1cccc2cccc(O)c21>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
6,1,11,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00005436,CCOC(=O)c1cccs1,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,47553.97188,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1cccs1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
7,1,13,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00043650,CCNC(=O)C(=O)NCC,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,52992.46721,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCNC(=O)C(=O)NCC.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
8,1,15,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00005259,C1C(=O)NC(=O)N1,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,80753.85138,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1.O=C1CNC(=O)N1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
9,1,17,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00006195,c1cc[n+](c(c1)O)[O-],0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,5221.9085,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1.[O-][n+]1ccccc1O>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
10,1,19,1,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)C4CCCCC4,20hr_25C,0.1,367.1895916810007,MFCD12911997,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,0.1,1,0.4,250.0,MFCD00001461,C1CCC(CC1)C(=O)O,0.15,1.5,1,150,MFCD00008745,CC(=O)c1ccc(cc1)OC,0.1,1,0.2,500,DMSO,100,CS(=O)C,DMSO,CS(=O)C,9,Acetic Acid,CC(=O)O,0.1,(Ir[dF(CF3)ppy]2(dtbpy))PF6,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C.c1cc(ncc1C(F)(F)F)c2c(cc(cc2[Ir+]c3cc(cc(c3c4ccc(cn4)C(F)(F)F)F)F)F)F.F[P-](F)(F)(F)(F)F,0.002,0.02,Neat,ArX,MFCD01863731,CC(C)(C)c1ccnc(c1)c2cc(ccn2)C(C)(C)C,0.015,0.15,Neat,ArX,NiCl2 glyme complex,COCCOC.Cl[Ni]Cl,0.01,0.1,Neat,ArX,MFCD01862972,CC(C)(C)N=C(N(C)C)N(C)C,0.15,1,Neat,Acid,52025.98677,CC(=O)O.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CN(C)C(=NC(C)(C)C)N(C)C.COCCOC.COc1ccc(C(C)=O)cc1.CS(C)=O.CS(C)=O.Cl[Ni]Cl.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir+]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1.O=C(O)C1CCCCC1>>CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(C3CCCCC3)ccc1-2
